,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
62,2012,Jimmer Fredette,14.65374449,2.315418502,3.425550661,0.95154185,0.095154185,2.125110132,1135,61,7,0.385650224,0.833333333,0.361111111,0.012,-4.4,10.8,0.495,-0.7,12.58939096,2.829076621,4.1021611,1.060903733,0.141453831,2.333988212,0.379518072,0.955555556,0.1875,0.021,-5.5,9.8,0.479,-0.4,68
63,2012,Tobias Harris,15.63256785,7.590814196,1.653444676,0.977035491,0.526096033,2.329853862,479,42,9,0.467455621,0.814814815,0.260869565,0.087,-3.5,14.2,0.54,-0.2,17.68847615,6.534402702,1.884339384,1.048543689,0.547066273,1.747572816,0.465753425,0.787755102,0.364016736,0.098,-0.3,16.7,0.551,1,79
64,2012,Kyrie Irving,21.81258023,4.413350449,6.354300385,1.24775353,0.462130937,3.697047497,1558,51,51,0.46854083,0.87244898,0.398907104,0.125,3.3,21.4,0.566,2.1,21.46813187,3.125274725,5.12967033,1.503296703,0.263736264,2.452747253,0.468016194,0.863013699,0.415343915,0.183,3.3,21.5,0.583,3.7,88
65,2012,Reggie Jackson,10.05988024,3.808383234,5.101796407,1.796407186,0.071856287,2.586826347,501,45,0,0.320754717,0.862068966,0.209677419,0.011,-3.9,9.2,0.408,-0.2,16.50643777,5.175965665,5.510729614,1.081545064,0.128755365,2.343347639,0.432291667,0.860869565,0.278481013,0.101,-0.4,15.6,0.511,0.6,83
66,2012,Enes Kanter,12.52173913,11.45080092,0.329519451,0.741418764,0.947368421,2.224256293,874,66,0,0.495762712,0.666666667,0,0.095,-4.7,14.5,0.539,-0.6,18.40723982,10.42533937,0.705882353,0.624434389,0.43438914,2.524886878,0.491408935,0.788135593,0.317073171,0.099,-4.1,17.5,0.535,-0.7,80
67,2012,Brandon Knight,14.322217,3.56787224,4.244246125,0.828558009,0.169093471,2.891498356,2129,66,60,0.414824447,0.759124088,0.380434783,0.029,-1.9,11.7,0.511,0,19.68483412,4.713270142,5.992890995,1.791469194,0.191943128,3.54028436,0.434899329,0.881443299,0.409448819,0.124,2.2,18.5,0.556,1.8,80
68,2012,Kawhi Leonard,11.89830508,7.674054759,1.642764016,1.994784876,0.563233377,1.032594524,1534,64,39,0.492574257,0.772727273,0.376146789,0.171,4.3,16.6,0.573,2.4,18.71716675,8.16330546,2.850959174,2.620757501,0.849975406,1.717658633,0.479318735,0.801587302,0.348958333,0.204,6.1,22,0.567,4.1,94
69,2012,Jon Leuer,14.14054054,7.783783784,1.621621622,0.908108108,1.102702703,1.167567568,555,46,12,0.507853403,0.75,0.333333333,0.122,-1.4,15.3,0.536,0.1,12.49514563,9.04368932,2.009708738,0.742718447,0.393203884,1.529126214,0.443223443,0.627118644,0.24137931,0.078,-3.1,11.9,0.478,-0.2,75
70,2012,Shelvin Mack,10.62901155,4.251604621,6.053915276,1.293966624,0.092426187,2.218228498,779,64,0,0.4,0.711864407,0.285714286,0.042,-3.9,11.9,0.468,-0.4,12.92196879,3.414165666,6.698679472,1.296518607,0.086434574,2.117647059,0.400684932,0.806451613,0.31496063,0.075,-3.1,13.2,0.489,-0.2,75
71,2012,E'Twaun Moore,11.96374622,3.589123867,3.697885196,1.196374622,0.326283988,2.283987915,331,38,0,0.380530974,1,0.377777778,0.031,-3.5,8.8,0.474,-0.1,10.64285714,3.285714286,2.357142857,1.428571429,0.428571429,1,0.446043166,0.6,0.342105263,0.08,-2.5,10.3,0.504,-0.1,73
72,2012,Markieff Morris,13.70171149,8.185819071,1.907090465,1.202933985,1.232273839,2.053789731,1227,63,7,0.399082569,0.716981132,0.346774194,0.059,-0.6,12.1,0.484,0.4,17.54668733,7.057729562,2.678031771,1.408756296,0.543975203,2.371173964,0.465454546,0.762931035,0.318435754,0.085,-0.2,15.8,0.523,1.2,76
73,2012,Chandler Parsons,11.95343681,5.986696231,2.67405765,1.456762749,0.578713969,1.616407982,1804,63,57,0.451730419,0.551282051,0.337078652,0.09,1.7,13.3,0.513,1.7,17.07776761,5.319304666,2.651418115,1.136322049,0.312900275,1.580969808,0.462002413,0.720207254,0.380403458,0.121,2.5,16.3,0.567,2.5,80
74,2012,Iman Shumpert,11.88739003,3.927272727,3.462756598,2.13255132,0.168914956,2.343695015,1705,59,35,0.400749064,0.798165138,0.305732484,0.068,0.1,10.8,0.484,0.9,10.64347826,5.595652174,2.230434783,1.995652174,0.508695652,1.917391304,0.41015625,0.666666667,0.338461539,0.065,0.6,11.1,0.508,0.6,74
75,2012,Isaiah Thomas,16.2826087,3.652173913,5.782608696,1.152173913,0.173913044,2.282608696,1656,65,37,0.448336252,0.832432432,0.378995434,0.124,0.5,17.6,0.574,1.1,21.36833192,3.322607959,5.212531753,1.371718882,0.152413209,2.712955123,0.42578125,0.872037915,0.391304348,0.162,1.5,19.7,0.579,1,86
