,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
59,2012,Jimmy Butler,10.93036212,5.615598886,1.403899721,1.103064067,0.5013927577,359,42,0,0.4050632911,0.7678571429,0.1818181818,0.144,-1.3,12.5,0.526,0.1,18.63748508,5.42936729,3.037007561,1.633107839,0.515718265,0.461622807,0.8336933045,0.378238342,0.214,4.7,21.3,0.583,4.2,1.403899721,1.332272185,0,0,0,1,0
60,2012,Norris Cole,12.6,2.6,3.8,1.257142857,0.05714285714,1260,65,2,0.3933333333,0.7764705882,0.2763157895,0,-5.9,7.9,0.452,-1.2,9.25087108,3.386759582,5.174216028,1.317073171,0.2508710801,0.385620915,0.6956521739,0.2647058824,0.027,-2.9,9.9,0.452,-0.3,3,1.818815331,0,1,0,0,0
61,2012,Kenneth Faried,16.35101254,12.219865,1.24975892,1.180327869,1.631629701,1037,46,39,0.5857605178,0.6646341463,0,0.212,3.4,21.9,0.618,1.4,16.32598274,11.5282838,1.535953979,1.069990412,0.9837008629,0.5067934783,0.6909722222,0.125,0.13,0.8,18.4,0.548,1.4,1.87463838,2.036433365,0,0,1,0,0
62,2012,Jimmer Fredette,14.65374449,2.315418502,3.425550661,0.9515418502,0.09515418502,1135,61,7,0.3856502242,0.8333333333,0.3611111111,0.012,-4.4,10.8,0.495,-0.7,12.58939096,2.829076621,4.1021611,1.060903733,0.141453831,0.3795180723,0.9555555556,0.1875,0.021,-5.5,9.8,0.479,-0.4,2.125110132,2.333988212,1,0,0,0,0
63,2012,Tobias Harris,15.63256785,7.590814196,1.653444676,0.9770354906,0.5260960334,479,42,9,0.4674556213,0.8148148148,0.2608695652,0.087,-3.5,14.2,0.54,-0.2,17.68847615,6.534402702,1.884339384,1.048543689,0.5470662727,0.4657534247,0.787755102,0.3640167364,0.098,-0.3,16.7,0.551,1,2.329853862,1.747572816,0,0,1,0,0
64,2012,Kyrie Irving,21.81258023,4.413350449,6.354300385,1.24775353,0.4621309371,1558,51,51,0.46854083,0.8724489796,0.3989071038,0.125,3.3,21.4,0.566,2.1,21.46813187,3.125274725,5.12967033,1.503296703,0.2637362637,0.4680161943,0.8630136986,0.4153439153,0.183,3.3,21.5,0.583,3.7,3.697047497,2.452747253,0,0,0,0,1
65,2012,Reggie Jackson,10.05988024,3.808383234,5.101796407,1.796407186,0.07185628743,501,45,0,0.320754717,0.8620689655,0.2096774194,0.011,-3.9,9.2,0.408,-0.2,16.50643777,5.175965665,5.510729614,1.081545064,0.1287553648,0.4322916667,0.8608695652,0.2784810127,0.101,-0.4,15.6,0.511,0.6,2.586826347,2.343347639,0,0,1,0,0
66,2012,Enes Kanter,12.52173913,11.45080092,0.3295194508,0.7414187643,0.9473684211,874,66,0,0.4957627119,0.6666666667,0,0.095,-4.7,14.5,0.539,-0.6,18.40723982,10.42533937,0.7058823529,0.6244343891,0.4343891403,0.4914089347,0.7881355932,0.3170731707,0.099,-4.1,17.5,0.535,-0.7,2.224256293,2.524886878,0,0,1,0,0
67,2012,Brandon Knight,14.322217,3.56787224,4.244246125,0.8285580085,0.1690934711,2129,66,60,0.4148244473,0.7591240876,0.3804347826,0.029,-1.9,11.7,0.511,0,19.68483412,4.713270142,5.992890995,1.791469194,0.191943128,0.4348993289,0.881443299,0.4094488189,0.124,2.2,18.5,0.556,1.8,2.891498356,3.54028436,0,0,1,0,0
68,2012,Kawhi Leonard,11.89830508,7.674054759,1.642764016,1.994784876,0.5632333768,1534,64,39,0.4925742574,0.7727272727,0.376146789,0.171,4.3,16.6,0.573,2.4,18.71716675,8.16330546,2.850959174,2.620757501,0.8499754058,0.4793187348,0.8015873016,0.3489583333,0.204,6.1,22,0.567,4.1,1.032594524,1.717658633,0,0,0,1,0
69,2012,Jon Leuer,14.14054054,7.783783784,1.621621622,0.9081081081,1.102702703,555,46,12,0.5078534031,0.75,0.3333333333,0.122,-1.4,15.3,0.536,0.1,12.49514563,9.04368932,2.009708738,0.7427184466,0.3932038835,0.4432234432,0.6271186441,0.2413793103,0.078,-3.1,11.9,0.478,-0.2,1.167567568,1.529126214,0,1,0,0,0
70,2012,Shelvin Mack,10.62901155,4.251604621,6.053915276,1.293966624,0.09242618742,779,64,0,0.4,0.7118644068,0.2857142857,0.042,-3.9,11.9,0.468,-0.4,12.92196879,3.414165666,6.698679472,1.296518607,0.08643457383,0.4006849315,0.8064516129,0.3149606299,0.075,-3.1,13.2,0.489,-0.2,2.218228498,2.117647059,0,1,0,0,0
